,location,total_sqft,bath,price,bhk
2316,Akshaya Nagar,1662.0,3.0,85.5,3
2317,Begur Road,1200.0,2.0,45.0,2
2318,Garudachar Palya,1295.0,2.0,59.5,3
2319,Battarahalli,1777.0,3.0,100.0,3
2320,Kadugodi,1900.0,3.0,108.0,3
2321,Anandapura,1576.0,3.0,59.1,3
2322,Sompura,1020.0,2.0,41.0,2
2323,Raja Rajeshwari Nagar,648.0,1.0,31.75,1
2324,Neeladri Nagar,1167.0,2.0,38.0,3
2325,Hoodi,1220.0,2.0,50.89,2
2326,Vittasandra,1259.0,2.0,67.4,2
2327,Gottigere,2000.0,4.0,82.0,4
2328,8th Phase JP Nagar,1800.0,3.0,80.0,3
2329,Bannerghatta,1665.0,3.0,110.0,3
2330,Other,1234.0,2.0,61.0,2
2331,Mysore Road,1340.0,2.0,64.31,3
2332,Banashankari,1170.0,2.0,46.79,2
2333,Electronics City Phase 1,995.0,2.0,46.0,2
2334,Old Airport Road,1075.0,2.0,60.0,2
2335,Electronic City,1025.0,2.0,54.5,2
2336,Rachenahalli,2721.0,3.0,113.0,3
2337,Thanisandra,2000.0,3.0,99.0,3
2338,Whitefield,2500.0,4.0,155.0,4
2339,Mallasandra,1325.0,2.0,70.0,2
2340,Kadugodi,1314.0,2.0,68.2,2
2341,Kanakpura Road,2265.0,3.0,136.0,3
2342,Yelahanka,1026.0,2.0,41.0,2
2343,Other,1200.0,3.0,66.0,3
2344,KR Puram,1192.5,2.0,51.22,2
2345,Hebbal,1420.0,2.0,99.39,2
2346,JP Nagar,1300.0,2.0,90.87,2
2347,Begur,1559.0,3.0,63.0,3
2348,Harlur,1290.0,2.0,87.0,2
2349,Whitefield,905.0,1.0,55.0,1
2350,Other,1069.0,2.0,55.0,2
2351,Sarjapur  Road,1300.0,3.0,60.0,3
2352,Channasandra,1115.0,2.0,33.45,2
2353,Marathahalli,1305.0,2.0,69.0,3
2354,Kanakpura Road,1252.0,2.0,56.32,2
2355,Whitefield,1200.0,2.0,46.13,2
2356,Koramangala,1750.0,3.0,130.0,3
2357,Other,1375.0,2.0,105.0,2
2358,Subramanyapura,1313.0,2.0,66.5,2
2359,Attibele,3640.0,4.0,275.0,4
2360,Other,1693.0,3.0,108.0,3
2361,Other,1160.0,2.0,41.75,2
2362,Subramanyapura,1255.0,2.0,79.0,3
2363,Other,900.0,2.0,45.0,2
2364,Yelahanka New Town,1700.0,3.0,90.0,3
2365,Uttarahalli,1700.0,3.0,88.0,3
2366,Harlur,1749.0,3.0,115.0,3
2367,Other,1175.0,2.0,48.0,2
2368,Akshaya Nagar,1280.0,2.0,60.0,2
2369,Other,1200.0,2.0,50.0,2
2370,Ramagondanahalli,1610.0,2.0,115.0,3
2371,Electronic City,1070.0,2.0,46.0,2
2372,TC Palaya,1200.0,2.0,66.0,2
2373,9th Phase JP Nagar,1127.0,2.0,50.0,2
2374,Other,600.0,2.0,23.0,2
2375,Other,1364.0,2.0,70.0,2
2376,Whitefield,2268.0,3.0,146.0,4
2377,Other,1150.0,2.0,77.5,3
2378,Other,1146.0,2.0,39.5,2
2379,Magadi Road,1345.0,2.0,55.0,2
2380,Other,1110.0,2.0,41.0,2
2381,Kengeri,750.0,2.0,36.0,2
2382,Other,1156.0,2.0,49.5,2
2383,Pattandur Agrahara,1247.0,2.0,59.8,2
2384,Other,1058.0,2.0,60.0,2
2385,Kaggalipura,950.0,2.0,48.0,2
2386,Vijayanagar,1520.0,2.0,103.0,3
2387,Marathahalli,1215.0,2.0,58.86,2
2388,Other,900.0,1.0,30.0,1
2389,Hennur Road,2350.0,3.0,174.0,3
2390,Thanisandra,1050.0,2.0,46.0,2
2391,Laggere,2800.0,5.0,125.0,5
2392,Other,1500.0,2.0,65.0,3
2393,Other,1400.0,2.0,65.0,2
2394,8th Phase JP Nagar,2700.0,4.0,130.0,4
2395,Bommasandra,920.0,2.0,37.46,2
2396,Sarjapur  Road,1200.0,3.0,70.0,3
2397,HSR Layout,1140.0,2.0,46.0,2
2398,Haralur Road,1464.0,2.0,56.0,2
2399,Electronics City Phase 1,1555.0,2.0,82.0,3
2400,Whitefield,1150.0,2.0,55.0,2
2401,Kadubeesanahalli,970.0,2.0,35.0,2
2402,Banashankari,2500.0,4.0,95.0,4
2403,Other,1166.0,2.0,53.0,2
2404,Electronic City,1350.0,3.0,58.0,3
2405,Other,900.0,2.0,46.0,2
2406,7th Phase JP Nagar,1300.0,2.0,52.0,3
2407,Other,1190.0,3.0,55.0,3
2408,Kodichikkanahalli,1495.0,2.0,75.0,3
2409,Banashankari Stage III,1350.0,2.0,68.0,3
2410,Green Glen Layout,940.0,2.0,56.8,2
2411,Raja Rajeshwari Nagar,1100.0,2.0,55.0,2
2412,Kaikondrahalli,1300.0,2.0,61.0,2
2413,Hoodi,1105.0,2.0,46.37,2
2414,Sarjapur  Road,2600.0,3.0,200.0,3
2415,Yelahanka,1517.0,3.0,76.3,3
2416,Jalahalli,1615.0,3.0,89.75,3
2417,Other,1500.0,3.0,65.0,3
2418,Mysore Road,1082.0,3.0,50.5,3
2419,Marathahalli,1365.0,2.0,73.0,2
2420,CV Raman Nagar,1392.0,2.0,98.0,2
2421,Kodigehalli,1086.0,2.0,33.66,2
2422,Hennur Road,1586.0,3.0,93.94,3
2423,Hennur,1100.0,2.0,60.0,2
2424,7th Phase JP Nagar,1575.0,2.0,120.0,3
2425,Hennur Road,1975.0,3.0,123.0,3
2426,Other,820.0,2.0,24.0,2
2427,Gubbalala,1745.0,3.0,110.0,3
2428,Nagarbhavi,1223.0,2.0,60.0,2
2429,Ananth Nagar,1200.0,2.0,65.0,3
2430,Basaveshwara Nagar,1200.0,2.0,90.0,2
2431,Binny Pete,665.0,1.0,46.08,1
2432,Bharathi Nagar,1351.0,2.0,70.0,2
2433,Hebbal,1355.0,3.0,83.87,3
2434,Sector 7 HSR Layout,3900.0,3.0,300.0,3
2435,Thanisandra,1588.0,3.0,75.55,3
2436,Amruthahalli,900.0,2.0,60.0,2
2437,Harlur,3385.0,4.0,260.0,4
2438,Panathur,1370.0,2.0,75.0,3
2439,Whitefield,1500.0,3.0,71.8,3
2440,Kanakpura Road,1100.0,3.0,53.0,3
2441,Hoodi,1247.0,2.0,53.0,2
2442,Balagere,1020.07,2.0,68.38,2
2443,Other,1033.0,2.0,32.0,3
2444,Other,1460.0,2.0,73.0,3
2445,Garudachar Palya,1150.0,2.0,52.8,2
2446,Sarjapur  Road,5965.0,5.0,385.0,5
2447,Babusapalaya,1141.0,2.0,46.0,2
2448,Doddaballapur,4200.0,4.0,325.0,4
2449,Hosa Road,1665.0,2.0,125.0,3
2450,Kanakapura,1295.0,2.0,64.0,2
2451,Haralur Road,1230.0,2.0,78.0,2
2452,Other,1080.0,2.0,75.0,3
2453,Kaggalipura,1000.0,2.0,60.0,2
2454,Whitefield,630.5,1.0,32.79,1
2455,Rayasandra,1708.0,3.0,75.0,3
2456,Thanisandra,1697.0,3.0,115.0,3
2457,Hosa Road,615.0,1.0,28.29,1
2458,Banashankari,1350.0,2.0,83.0,3
2459,Kanakpura Road,1530.0,2.0,66.4,3
2460,Jalahalli,1083.0,2.0,32.49,2
2461,Gottigere,1460.0,2.0,65.0,3
2462,Babusapalaya,1084.0,2.0,58.0,2
2463,Bommasandra,1035.0,2.0,41.43,2
2464,Other,2400.0,2.0,150.0,3
2465,Hosur Road,460.0,1.0,21.0,1
2466,Whitefield,1285.0,2.0,55.9,2
2467,Sarjapur,1200.0,3.0,78.0,3
2468,Other,1070.0,2.0,35.0,2
2469,Hegde Nagar,1801.0,3.0,140.0,3
2470,Whitefield,1697.0,3.0,115.0,3
2471,AECS Layout,1199.0,2.0,65.0,2
2472,Mysore Road,1340.0,2.0,64.31,3
2473,Marathahalli,3800.0,4.0,205.0,4
2474,Other,1125.0,2.0,75.0,2
2475,Anandapura,1200.0,2.0,67.0,2
2476,Subramanyapura,1050.0,2.0,41.0,2
2477,Nagarbhavi,956.0,2.0,49.0,2
2478,Sarjapur,1000.0,2.0,30.0,2
2479,Other,1596.0,3.0,95.0,3
2480,Kanakpura Road,1296.0,2.0,89.06,2
2481,Other,1639.0,3.0,123.0,3
2482,Electronic City Phase II,1219.0,2.0,61.25,2
2483,Uttarahalli,1200.0,3.0,50.0,3
2484,Bannerghatta Road,1218.0,2.0,73.0,2
2485,Other,920.0,2.0,37.0,2
2486,Yeshwanthpur,2559.0,3.0,141.0,3
2487,2nd Phase Judicial Layout,525.0,1.0,26.0,1
2488,Bannerghatta Road,1427.0,2.0,48.51,3
2489,Kothannur,1270.0,3.0,45.0,3
2490,Ramagondanahalli,920.0,2.0,65.0,2
2491,Ramamurthy Nagar,1355.0,2.0,40.0,3
2492,Lingadheeranahalli,1530.0,2.0,90.0,3
2493,Other,1372.0,2.0,90.0,3
2494,Marathahalli,3895.0,4.0,220.0,4
2495,Jakkur,1950.0,3.0,131.0,3
2496,Other,885.0,2.0,40.0,2
2497,Yelahanka,600.0,2.0,27.0,2
2498,Kanakpura Road,1339.0,2.0,62.0,2
2499,Whitefield,1130.0,2.0,36.0,2
2500,Uttarahalli,1085.0,2.0,43.0,2
2501,Yeshwanthpur,1430.0,3.0,72.0,3
2502,Other,1490.0,2.0,59.6,3
2503,Other,1650.0,4.0,99.0,4
2504,Bellandur,1286.0,2.0,57.0,2
2505,Other,925.0,2.0,63.0,2
2506,Bellandur,3016.0,4.0,230.0,4
2507,Haralur Road,1000.0,2.0,44.0,2
2508,Whitefield,1215.0,2.0,39.0,2
2509,Other,1200.0,3.0,95.0,4
2510,Lakshminarayana Pura,1336.0,2.0,100.0,2
2511,Yeshwanthpur,673.0,1.0,36.85,1
2512,Anandapura,1200.0,2.0,58.0,2
2513,Other,1200.0,2.0,79.0,2
2514,Devanahalli,2400.0,5.0,100.0,5
2515,Sector 2 HSR Layout,1143.0,2.0,65.0,2
2516,Kanakpura Road,1470.0,2.0,61.74,2
2517,Marathahalli,1785.0,3.0,94.0,3
2518,Kothanur,1460.0,3.0,71.0,3
2519,Kasturi Nagar,1500.0,2.0,80.0,3
2520,Sanjay nagar,3300.0,3.0,250.0,5
2521,Chikkalasandra,1230.0,2.0,48.0,2
2522,Yelahanka New Town,650.0,1.0,20.0,1
2523,Thanisandra,1220.0,2.0,43.92,2
2524,Other,1570.0,3.0,115.0,3
2525,Mallasandra,1665.0,3.0,86.91,3
2526,Ramamurthy Nagar,1100.0,2.0,68.0,2
2527,Kathriguppe,1350.0,2.0,87.01,3
2528,Kasavanhalli,1719.0,3.0,116.0,3
2529,Budigere,664.0,1.0,35.0,1
2530,Sonnenahalli,1011.0,2.0,50.53,2
2531,Other,2400.0,6.0,130.0,6
2532,Other,1680.0,3.0,85.0,3
2533,Yeshwanthpur,717.0,2.0,49.475,2
2534,Uttarahalli,1350.0,2.0,53.0,3
2535,Pattandur Agrahara,875.0,2.0,33.0,2
2536,Hennur,1231.0,2.0,48.0,2
2537,Somasundara Palya,1174.0,2.0,74.0,2
2538,Munnekollal,1560.0,3.0,75.0,3
2539,Other,1464.0,2.0,56.0,2
2540,Kanakpura Road,2200.0,3.0,130.0,3
2541,Shivaji Nagar,850.0,2.0,55.0,2
2542,1st Phase JP Nagar,2024.0,3.0,157.0,3
2543,Devanahalli,1080.0,2.0,44.0,2
2544,Begur Road,1500.0,2.0,55.0,3
2545,Kodichikkanahalli,3250.0,4.0,180.0,4
2546,Uttarahalli,1175.0,2.0,47.0,2
2547,Channasandra,1030.0,2.0,34.5,2
2548,Hoodi,1500.0,2.0,84.0,2
2549,Thanisandra,1380.0,1.0,62.1,1
2550,Other,1200.0,2.0,50.0,2
2551,Other,705.0,1.0,36.5,1
2552,Hegde Nagar,1584.01,3.0,103.0,3
2553,Other,1340.0,3.0,77.0,3
2554,Other,1800.0,3.0,70.0,3
2555,R.T. Nagar,1200.0,2.0,45.0,2
2556,Sarjapur  Road,685.0,1.0,40.0,1
2557,Other,925.0,2.0,42.0,2
2558,Other,1230.0,2.0,57.0,2
2559,Kodichikkanahalli,1125.0,2.0,52.0,2
2560,Hebbal,1100.0,2.0,54.0,2
2561,Jigani,2400.0,3.0,149.0,3
2562,Electronic City Phase II,1400.0,2.0,41.58,3
2563,Jakkur,1858.0,3.0,98.3,3
2564,Other,1260.0,1.0,41.0,1
2565,HSR Layout,1185.0,2.0,60.0,2
2566,Hennur,1255.0,2.0,58.0,2
2567,Kudlu Gate,1335.0,3.0,89.0,3
2568,Dodda Nekkundi,1999.0,3.0,132.0,3
2569,Kundalahalli,1397.0,3.0,110.0,3
2570,Chikka Tirupathi,1616.0,3.0,95.0,3
2571,Raja Rajeshwari Nagar,1140.0,2.0,38.55,2
2572,Kanakpura Road,525.0,1.0,30.0,1
2573,Balagere,1205.47,2.0,81.0,2
2574,Electronic City,1700.0,3.0,75.0,3
2575,Kanakpura Road,1090.0,2.0,54.54,2
2576,Thanisandra,923.0,1.0,60.84,1
2577,Green Glen Layout,1050.0,2.0,48.0,2
2578,Whitefield,1495.0,2.0,79.5,2
2579,Hennur Road,1664.0,2.0,93.865,3
2580,Narayanapura,1485.0,3.0,85.0,3
2581,Dommasandra,1033.0,2.0,31.5,3
2582,Electronic City,1400.0,2.0,48.0,3
2583,Sarjapur  Road,944.0,2.0,35.0,2
2584,Whitefield,1216.0,2.0,66.48,2
2585,Other,1100.0,2.0,39.5,2
2586,Thanisandra,1743.0,3.0,93.25,3
2587,Yelahanka,1274.0,2.0,48.42,2
2588,Mysore Road,1512.0,2.0,110.0,3
2589,Cox Town,1650.0,3.0,100.0,3
2590,Doddathoguru,1875.0,3.0,55.0,3
2591,Whitefield,1350.0,3.0,54.0,3
2592,Other,1219.0,2.0,40.0,2
2593,Sarjapura - Attibele Road,2400.0,3.0,85.0,3
2594,Hormavu,1141.0,2.0,44.4,2
2595,Anandapura,1151.0,2.0,43.1,2
2596,Sarjapur  Road,915.0,2.0,38.0,2
2597,Bannerghatta Road,1115.0,2.0,65.12,2
2598,Kaggadasapura,1200.0,2.0,53.0,2
2599,Singasandra,1300.0,2.0,65.0,2
2600,Bellandur,1457.0,2.0,85.0,2
2601,Kannamangala,1262.0,2.0,55.0,2
2602,Attibele,420.0,1.0,17.0,1
2603,Kanakapura,1160.0,2.0,46.39,2
2604,Kasavanhalli,1115.0,2.0,50.0,2
2605,JP Nagar,1315.0,2.0,85.4,3
2606,Babusapalaya,1500.0,2.0,57.0,2
2607,HSR Layout,1127.0,2.0,68.0,2
2608,Kundalahalli,1397.0,3.0,104.0,3
2609,Whitefield,1173.0,2.0,60.0,2
2610,Jakkur,1230.0,2.0,76.0,2
2611,Other,3200.0,3.0,190.0,4
2612,Sarjapur  Road,858.0,2.0,31.57,2
2613,Talaghattapura,1868.0,3.0,121.0,3
2614,Uttarahalli,1689.28,3.0,91.2,3
2615,Banashankari,1425.0,3.0,49.88,3
2616,Tindlu,1350.0,2.0,100.0,2
2617,Channasandra,4200.0,6.0,180.0,6
2618,Uttarahalli,1310.0,2.0,85.0,3
2619,Haralur Road,3185.0,2.0,175.0,4
2620,Other,970.0,2.0,40.0,2
2621,Kundalahalli,1397.0,3.0,108.0,3
2622,Sarjapur,1157.0,2.0,40.0,2
2623,Kasavanhalli,1125.0,2.0,61.2,2
2624,Sonnenahalli,1157.0,2.0,42.0,2
2625,Sarjapur  Road,1241.0,2.0,82.0,2
2626,Marathahalli,4000.0,4.0,220.0,4
2627,Rajiv Nagar,2340.0,4.0,148.0,4
2628,Other,596.0,1.0,42.0,1
2629,Brookefield,1139.0,2.0,80.0,2
2630,Yeshwanthpur,1168.0,2.0,64.08,2
2631,Chandapura,877.0,2.0,42.0,2
2632,Electronics City Phase 1,1340.0,2.0,75.0,2
2633,Other,1405.0,2.0,70.0,3
2634,Other,1800.0,3.0,65.0,3
2635,Other,1360.0,2.0,65.0,3
2636,Other,985.0,2.0,63.0,2
2637,Other,1490.0,2.0,88.0,3
2638,Other,620.0,1.0,25.0,2
2639,Hormavu,1130.0,2.0,42.3,2
2640,Yelachenahalli,1080.0,2.0,55.0,2
2641,Singasandra,3126.0,4.0,120.0,4
2642,Begur Road,1410.0,2.0,52.17,3
2643,Bommanahalli,1375.0,3.0,59.0,3
2644,Hennur Road,1290.0,2.0,94.5,3
2645,Hosa Road,1318.0,2.0,85.28,3
2646,Electronic City,1128.0,2.0,68.0,2
2647,Other,4428.0,4.0,255.0,4
2648,Kanakpura Road,1051.0,2.0,56.74,2
2649,Kannamangala,2400.0,4.0,130.0,4
2650,Yelahanka,1327.0,2.0,85.0,2
2651,Other,1301.0,2.0,55.0,2
2652,Other,650.0,1.0,30.0,1
2653,Varthur,1200.0,3.0,67.75,3
2654,Other,1500.0,2.0,89.99,3
2655,Sarjapur  Road,984.0,2.0,45.91,2
2656,Hebbal,1355.0,3.0,83.87,3
2657,Other,910.0,1.0,42.0,1
2658,Other,1250.0,3.0,39.0,3
2659,Hosakerehalli,1304.0,2.0,100.0,2
2660,Begur Road,1615.0,3.0,58.0,3
2661,Sarjapur  Road,1400.0,2.0,68.0,2
2662,CV Raman Nagar,1070.0,2.0,47.5,2
2663,Hoodi,1132.0,2.0,89.37,2
2664,Other,2000.0,3.0,85.0,3
2665,Raja Rajeshwari Nagar,1090.0,2.0,43.59,2
2666,Gottigere,1500.0,3.0,70.0,3
2667,Kanakpura Road,525.0,1.0,30.0,1
2668,Bhoganhalli,1447.0,2.0,75.97,2
2669,Whitefield,1269.0,2.0,75.0,2
2670,Kanakpura Road,1070.0,2.0,37.45,2
2671,Marathahalli,1208.0,2.0,70.0,2
2672,Ramamurthy Nagar,1185.0,2.0,45.5,2
2673,Anekal,888.0,2.0,34.0,2
2674,Other,532.0,1.0,22.49,1
2675,Other,1060.0,3.0,62.0,3
2676,Electronic City,700.0,1.0,35.0,1
2677,Other,902.0,2.0,42.0,2
2678,Uttarahalli,1175.0,2.0,47.0,2
2679,Doddathoguru,984.0,2.0,51.0,2
2680,Hebbal,2700.0,2.0,100.0,4
2681,Jalahalli East,1475.0,3.0,96.0,3
2682,Haralur Road,1300.0,2.0,79.0,2
2683,Babusapalaya,1453.0,2.0,43.59,3
2684,Akshaya Nagar,1666.0,3.0,95.0,3
2685,Murugeshpalya,1845.0,3.0,91.0,3
2686,Sarjapura - Attibele Road,1676.0,3.0,52.0,3
2687,Uttarahalli,1137.0,2.0,63.0,2
2688,Electronic City,1360.0,2.0,70.5,3
2689,Other,1374.0,2.0,70.0,3
2690,Whitefield,3227.0,5.0,250.0,5
2691,Other,2145.0,4.0,125.0,4
2692,Kasavanhalli,2170.0,3.0,151.0,3
2693,Other,1080.0,2.0,55.0,2
2694,Electronic City Phase II,1790.0,3.0,100.0,3
2695,Doddathoguru,550.0,1.0,17.0,1
2696,Poorna Pragna Layout,1270.0,2.0,50.79,3
2697,Somasundara Palya,1033.0,2.0,48.0,2
2698,Other,1240.0,2.0,52.6,2
2699,Kambipura,883.0,2.0,39.0,2
2700,Other,1500.0,2.0,97.0,3
2701,Kasavanhalli,1915.0,3.0,80.0,3
2702,Whitefield,1545.0,3.0,79.0,3
2703,Hebbal Kempapura,1150.0,2.0,40.0,2
2704,Other,1200.0,2.0,49.0,2
2705,Kengeri,963.0,2.0,40.0,2
2706,Kaikondrahalli,1700.0,4.0,108.0,4
2707,Lingadheeranahalli,1682.0,3.0,120.0,3
2708,Yelahanka,1371.0,2.0,65.0,3
2709,Hennur Road,901.0,2.0,49.5,2
2710,Ambalipura,1730.0,3.0,120.0,3
2711,EPIP Zone,1500.0,3.0,102.0,3
2712,Other,3500.0,4.0,245.0,4
2713,Other,1203.0,2.0,59.86,2
2714,Horamavu Banaswadi,1357.0,2.0,54.0,2
2715,Other,1600.0,3.0,76.0,3
2716,Yelahanka New Town,350.0,1.0,13.5,1
2717,Varthur,1665.0,3.0,53.0,3
2718,Sarjapur  Road,835.0,1.0,46.95,1
2719,Haralur Road,1444.0,2.0,80.0,3
2720,Kanakapura,1277.0,2.0,55.0,2
2721,Lingadheeranahalli,1521.0,3.0,94.71,3
2722,Other,1134.0,2.0,40.0,2
2723,Vasanthapura,995.0,2.0,34.82,2
2724,Marathahalli,1325.0,1.0,92.0,2
2725,Kothanur,4000.0,6.0,150.0,6
2726,Marathahalli,1525.0,3.0,90.0,3
2727,Other,1320.0,2.0,73.0,3
2728,Electronics City Phase 1,650.0,1.0,23.0,1
2729,Electronic City,1150.0,2.0,38.0,2
2730,Electronic City Phase II,769.0,2.0,40.0,2
2731,Electronic City,1571.0,3.0,105.0,3
2732,Hennur Road,1445.0,3.0,86.56,3
2733,Bommasandra,902.0,2.0,49.0,2
2734,Sarjapur,2238.0,3.0,140.0,3
2735,Yelahanka,1712.0,3.0,82.0,3
2736,Haralur Road,1088.0,2.0,68.0,2
2737,Somasundara Palya,1575.0,3.0,63.1,3
2738,Kundalahalli,1920.0,3.0,150.0,3
2739,Margondanahalli,1000.0,2.0,57.0,2
2740,Other,1100.0,2.0,56.1,2
2741,Electronic City,1089.0,2.0,45.0,2
2742,Horamavu Agara,1106.0,2.0,43.09,2
2743,Kengeri,927.0,2.0,37.0,2
2744,Kanakpura Road,1339.0,2.0,58.0,2
2745,Thanisandra,923.0,1.0,45.69,1
2746,Lakshminarayana Pura,1175.0,2.0,75.0,2
2747,Thubarahalli,975.0,2.0,55.0,2
2748,Subramanyapura,1330.0,3.0,72.0,3
2749,Thanisandra,1183.0,2.0,59.74,2
2750,Harlur,1758.0,3.0,133.0,3
2751,Hebbal,1255.0,2.0,77.68,3
2752,Pai Layout,1100.0,2.0,50.0,2
2753,Ramamurthy Nagar,1170.0,2.0,46.8,2
2754,Other,2400.0,5.0,120.0,5
2755,Raja Rajeshwari Nagar,1530.0,3.0,51.77,3
2756,Hebbal,1420.0,2.0,107.0,2
2757,Kanakpura Road,1591.0,3.0,115.0,3
2758,7th Phase JP Nagar,1680.0,3.0,120.0,3
2759,Hoodi,1055.0,2.0,57.63,2
2760,Iblur Village,1918.0,3.0,129.0,3
2761,Sarjapur  Road,1280.0,2.0,76.0,2
2762,Nagarbhavi,1560.0,3.0,66.0,3
2763,Sarjapur  Road,1145.0,2.0,49.5,2
2764,Talaghattapura,2106.0,3.0,126.0,3
2765,Other,1801.0,3.0,139.0,3
2766,Whitefield,1306.0,3.0,54.65,3
2767,Hebbal,1320.0,2.0,92.0,2
2768,Other,1350.0,2.0,65.0,3
2769,Bannerghatta Road,1344.0,2.0,42.0,3
2770,Bannerghatta Road,1893.0,3.0,100.0,3
2771,Chandapura,1107.0,2.0,43.0,3
2772,Lakshminarayana Pura,1190.0,2.0,75.0,2
2773,Whitefield,1000.0,2.0,35.0,2
2774,Other,2400.0,2.0,160.0,2
2775,Kumaraswami Layout,1000.0,2.0,48.5,2
2776,Jalahalli,2113.0,3.0,155.0,3
2777,KR Puram,1100.0,2.0,46.0,2
2778,Harlur,1884.0,4.0,120.0,4
2779,Electronic City,1110.0,2.0,40.0,2
2780,Kudlu,1027.0,2.0,43.0,2
2781,Other,1250.0,3.0,40.0,3
2782,Sarjapur  Road,1470.0,3.0,62.0,3
2783,Other,1150.0,2.0,75.0,2
2784,Kudlu Gate,703.0,1.0,52.0,1
2785,Other,1400.0,2.0,62.0,3
2786,Bellandur,1195.0,2.0,51.0,2
2787,Narayanapura,1302.0,2.0,69.1,2
2788,Begur Road,1583.0,3.0,74.4,3
2789,Other,1488.0,2.0,60.0,3
2790,Electronic City,1600.0,3.0,104.0,3
2791,Old Airport Road,1150.0,2.0,90.0,2
2792,Sarjapur  Road,1263.0,2.0,78.0,2
2793,Kanakpura Road,1299.0,2.0,85.0,2
2794,Banashankari,1330.0,2.0,78.0,2
2795,Devanahalli,1282.0,2.0,52.43,3
2796,Other,1853.0,3.0,82.0,3
2797,Other,861.0,2.0,35.0,2
2798,Bannerghatta Road,1600.0,3.0,95.0,3
2799,Other,1256.0,2.0,62.8,2
2800,Other,1390.0,2.0,80.0,3
2801,Other,1550.0,2.0,90.0,3
2802,Hebbal,919.0,2.0,49.0,2
2803,Margondanahalli,1625.0,3.0,80.0,3
2804,Gunjur,1195.0,2.0,44.0,2
2805,Yelenahalli,1159.0,2.0,60.0,2
2806,Whitefield,1386.0,3.0,57.46,3
2807,Harlur,1197.0,2.0,79.0,2
2808,Old Airport Road,2690.0,4.0,191.0,4
2809,Jigani,4303.5,2.0,226.0,4
2810,Bommasandra,1295.0,2.0,50.28,3
2811,Whitefield,1132.0,2.0,79.28,2
2812,Whitefield,1200.0,2.0,45.84,2
2813,Marathahalli,1937.0,3.0,140.0,3
2814,Doddathoguru,1015.0,2.0,33.5,2
2815,Other,1080.0,2.0,39.0,2
2816,Kathriguppe,1350.0,2.0,80.99,3
2817,Kothanur,1185.0,2.0,59.0,2
2818,Domlur,1720.0,3.0,135.0,3
2819,Tindlu,1500.0,3.0,87.0,3
2820,Yelahanka,1566.0,3.0,97.0,3
2821,Other,1500.0,4.0,110.0,4
2822,KR Puram,1290.0,2.0,49.02,2
2823,Other,1531.0,3.0,72.0,3
2824,Whitefield,1140.0,2.0,39.0,2
2825,Tumkur Road,1343.5,3.0,57.76,3
2826,Banashankari Stage III,2000.0,4.0,100.0,4
2827,Kaval Byrasandra,1100.0,2.0,46.0,2
2828,Other,1200.0,2.0,55.0,2
2829,Bannerghatta,1618.0,3.0,68.0,3
2830,Uttarahalli,1315.0,2.0,74.0,3
2831,Anandapura,1141.0,2.0,42.75,2
2832,AECS Layout,1080.0,2.0,55.0,2
2833,HBR Layout,1200.0,2.0,60.0,2
2834,Varthur,1111.0,2.0,41.88,2
2835,NGR Layout,1022.0,2.0,45.9,2
2836,Bannerghatta Road,1275.0,2.0,65.0,2
2837,Other,900.0,2.0,70.0,2
2838,Rachenahalli,1224.0,2.0,39.2,2
2839,Battarahalli,1135.0,2.0,43.0,2
2840,Rachenahalli,1050.0,2.0,52.1,2
2841,Kudlu Gate,1535.0,3.0,86.0,3
2842,Bellandur,1050.0,2.0,72.0,2
2843,Hosa Road,1513.0,3.0,103.0,3
2844,Gottigere,1621.0,3.0,72.0,3
2845,Bannerghatta Road,892.0,2.0,39.0,2
2846,Whitefield,1205.0,2.0,40.0,2
2847,Hebbal,1355.0,3.0,83.87,3
2848,Kengeri,726.0,2.0,35.0,2
2849,Horamavu Agara,1079.0,2.0,41.0,2
2850,Begur Road,1170.0,2.0,46.0,2
2851,Doddathoguru,1104.0,2.0,39.0,2
2852,Kanakpura Road,950.0,2.0,45.0,2
2853,Other,1650.0,2.0,52.0,3
2854,Other,1100.0,2.0,38.0,2
2855,Ramagondanahalli,1215.0,2.0,45.5,2
2856,Talaghattapura,1868.0,3.0,135.0,3
2857,Kanakpura Road,1570.0,3.0,64.5,3
2858,Sarjapur  Road,1691.0,3.0,98.0,3
2859,Hulimavu,1225.0,2.0,55.0,2
2860,JP Nagar,1690.0,3.0,112.0,3
2861,Thigalarapalya,1418.0,2.0,103.0,2
2862,Kasturi Nagar,1896.0,3.0,125.0,4
2863,Sonnenahalli,605.0,1.0,40.0,1
2864,Electronic City Phase II,900.0,2.0,32.5,2
2865,Thanisandra,3216.0,4.0,226.0,4
2866,Iblur Village,1400.0,2.0,68.0,2
2867,Kudlu,1092.0,2.0,44.0,2
2868,Hulimavu,1255.0,2.0,74.0,2
2869,Electronic City,1500.0,2.0,100.0,3
2870,Thanisandra,1296.0,2.0,72.0,2
2871,Horamavu Banaswadi,925.0,2.0,38.0,2
2872,Raja Rajeshwari Nagar,1023.0,2.0,42.0,2
2873,Thanisandra,1020.0,2.0,44.5,2
2874,Choodasandra,1530.0,3.0,77.0,3
2875,Gubbalala,1650.0,3.0,71.0,3
2876,Other,1605.0,2.0,85.0,3
2877,Kogilu,1190.0,2.0,50.66,2
